caller,total_calls,short_call,unanswered,unique_ca,mean_duration,pct_weekend,pct_daytime,unique_called_ratio,short_call_count,fraud_ratio,label,POST_CODE,credit_score_cat,short_call_ratio,cluster,pca1,pca2,anomaly_flag,prediction,anomaly_score,Caller Country,Caller Operator
966500433218,29,20,2,23,292.192182,0.120858054,0.353046582,1,20,0.689655,0,629903,1,0.689655,4,-602324.6986,7.49422189,1,Anomaly,0.02089883,Saudi Arabia,STC
966537940265,26,18,2,20,271.531376,0.63444589,0.271547194,1,18,0.692308,0,498382,1,0.692308,2,694988.7327,5.18630157,1,Anomaly,0.026142565,Saudi Arabia,Mobily
966558161849,29,20,2,23,269.228859,0.148688604,0.662884323,1,20,0.689655,0,910620,3,0.689655,0,710635.442,18.32418334,1,Anomaly,0.017602525,Saudi Arabia,Mobily
966555255341,30,21,3,24,267.113865,0.610388759,0.314381746,1,21,0.7,0,497887,3,0.7,4,-560769.6521,-8.78586328,1,Anomaly,0.025366272,Saudi Arabia,Zain KSA
966503056413,30,21,3,24,281.467788,0.558807066,0.476942331,1,21,0.7,0,774079,4,0.7,1,-470239.667,-12.66862462,1,Anomaly,0.021227363,Saudi Arabia,Zain KSA
966549696532,28,19,2,22,259.090941,0.132981463,0.276754391,1,19,0.678571,0,757924,2,0.678571,3,192818.0615,-5.76163442,1,Anomaly,0.021917769,Saudi Arabia,Zain KSA
966558480184,27,18,2,21,261.155217,0.404335675,0.517606594,1,18,0.666667,0,857168,3,0.666667,4,523924.3981,0.38408373,1,Anomaly,0.012128216,Saudi Arabia,Zain KSA
966548932528,25,17,2,20,309.894458,0.442023996,0.278307408,1,17,0.68,0,480612,3,0.68,1,-884149.667,18.90047996,1,Anomaly,0.028938989,Saudi Arabia,Zain KSA
966507182278,27,18,2,21,302.767379,0.524615742,0.875054034,1,18,0.666667,0,665492,2,0.666667,2,-202015.4,8.58434798,1,Anomaly,0.01746841,Saudi Arabia,STC
966567133150,29,20,2,23,273.011473,0.254152169,0.24969516,1,20,0.689655,0,761759,1,0.689655,1,-865199.3438,-23.4293521,1,Anomaly,0.01660857,Saudi Arabia,Zain KSA
966563473829,28,19,2,22,274.299724,0.43108106,0.484941973,1,19,0.678571,0,198907,1,0.678571,3,-291404.8668,-4.4448862,1,Anomaly,0.027276735,Saudi Arabia,Zain KSA
